#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
1076159599,2023-01-18T13:10:25.856779,1076170837,2023-01-18T13:10:25.858556,0.00948352,0.00925493,0.010009,3.27104,3.26713,3.27508,0.0310209,0.0302686,0.0327349,5.32784e-05,1.47996e-08,0.000174276,4.84099e-08
1086357277,2023-01-18T13:10:30.893349,1132119461,2023-01-18T13:10:53.826774,0.00737154,0.00351829,0.0114455,3.27779,3.26145,3.29324,0.0241613,0.0115746,0.0373808,0.168669,4.68525e-05,0.552838,0.000153566
1132127287,2023-01-18T13:10:53.828653,1132138537,2023-01-18T13:10:53.836236,0.0094861,0.00907838,0.00989832,3.27122,3.26713,3.27508,0.0310311,0.0297118,0.0323728,5.33498e-05,1.48194e-08,0.000174519,4.84775e-08
1142354866,2023-01-18T13:10:58.859636,1188570172,2023-01-18T13:11:22.050931,0.00736749,0.00355121,0.0114335,3.27777,3.26145,3.29324,0.0241479,0.0116829,0.0373287,0.170245,4.72904e-05,0.558002,0.000155001
1188578160,2023-01-18T13:11:22.053060,1188589400,2023-01-18T13:11:22.064017,0.00947502,0.00897663,0.00992226,3.27062,3.26713,3.27394,0.0309892,0.0293686,0.0324398,5.32401e-05,1.47889e-08,0.000174128,4.8369e-08
1198840008,2023-01-18T13:11:27.095019,1245028402,2023-01-18T13:11:50.273064,0.00737034,0.00350932,0.0114395,3.27806,3.26259,3.29324,0.0241593,0.0115451,0.0373482,0.170212,4.72811e-05,0.55794,0.000154983
1245036242,2023-01-18T13:11:50.274465,1245047483,2023-01-18T13:11:50.276595,0.00948442,0.00920705,0.0100539,3.27164,3.26713,3.27508,0.0310296,0.030112,0.0328589,5.32977e-05,1.48049e-08,0.000174371,4.84363e-08
1255180378,2023-01-18T13:11:55.290828,1301779434,2023-01-18T13:12:18.607670,0.00736623,0.00353326,0.0114395,3.27805,3.26145,3.29324,0.0241458,0.0116238,0.0373482,0.17163,4.76749e-05,0.562585,0.000156274
1301787214,2023-01-18T13:12:18.608548,1301798455,2023-01-18T13:12:18.610093,0.00947509,0.00914421,0.00993723,3.27123,3.26826,3.27508,0.0309952,0.0299272,0.0325226,5.32452e-05,1.47903e-08,0.000174177,4.83826e-08
1311946218,2023-01-18T13:12:23.723976,1359051112,2023-01-18T13:12:47.245966,0.00735801,0.00352129,0.0114305,3.2783,3.26145,3.29437,0.0241207,0.0115884,0.0373319,0.173299,4.81386e-05,0.568102,0.000157806
1359058884,2023-01-18T13:12:47.246564,1359070124,2023-01-18T13:12:47.247282,0.0094758,0.00919508,0.0100061,3.27144,3.26713,3.27508,0.0309995,0.0300728,0.0327251,5.32445e-05,1.47901e-08,0.000174186,4.8385e-08
1369205029,2023-01-18T13:12:52.367412,1415289415,2023-01-18T13:13:15.379802,0.00737086,0.00348837,0.0114305,3.27838,3.26259,3.29437,0.0241634,0.0114762,0.0373189,0.169841,4.7178e-05,0.556779,0.000154661
1415297145,2023-01-18T13:13:15.381417,1415308387,2023-01-18T13:13:15.383348,0.00948693,0.00924895,0.010045,3.27177,3.26713,3.27508,0.0310391,0.030249,0.0328524,5.33165e-05,1.48102e-08,0.00017444,4.84554e-08
